                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.75638,                 1.2735,                0.59241,                 0.9144,                0.41772,                0.34306,                 0.3032,                0.20084,                0.41021,                0.33126,                0.28401,                0.18198,                 1.4745,                 3.1805,                 2.2689,                 1.3701,             0.00082306,             0.00082306,             0.00082306
                     71,                0.75967,                 1.2924,                0.62021,                0.92402,                0.43988,                0.30337,                0.29776,                0.19324,                0.43581,                 0.3012,                0.29216,                0.17678,                 1.4835,                 3.1054,                 2.2289,                 1.3256,             0.00081688,             0.00081688,             0.00081688
                     72,                0.74229,                 1.2451,                0.60814,                0.92016,                0.37254,                0.28795,                0.24659,                0.16069,                0.35643,                0.29005,                0.24164,                0.14757,                  1.459,                 3.0704,                 2.4325,                 1.3383,             0.00081069,             0.00081069,             0.00081069
                     73,                0.75894,                  1.255,                0.61122,                0.91764,                0.38963,                0.29909,                0.26605,                0.17533,                0.37915,                0.29334,                0.25589,                0.15644,                 1.5073,                 3.1671,                 2.4792,                 1.3835,              0.0008045,              0.0008045,              0.0008045
                     74,                0.74859,                 1.2715,                0.59975,                0.91353,                0.40167,                0.28888,                0.26896,                0.17705,                0.39619,                 0.2852,                0.25918,                0.16308,                 1.5009,                 3.3001,                 2.3592,                 1.3878,             0.00079831,             0.00079831,             0.00079831
                     75,                0.75874,                 1.2585,                 0.6089,                0.91748,                0.32039,                0.37992,                0.28054,                0.18667,                0.32269,                0.36252,                0.28215,                0.17145,                 1.4615,                 3.1738,                 2.3576,                 1.3658,             0.00079213,             0.00079213,             0.00079213
                     76,                0.75037,                 1.2492,                0.60111,                0.91528,                0.27867,                0.35311,                0.26446,                  0.173,                0.35183,                0.29179,                0.26425,                0.15973,                 1.4529,                 3.1862,                 2.4634,                 1.3459,             0.00078594,             0.00078594,             0.00078594
                     77,                0.73698,                 1.2319,                0.57361,                0.91541,                0.39238,                0.29334,                0.27186,                0.18379,                0.39367,                0.29212,                0.27154,                0.17024,                 1.4858,                   3.13,                  2.361,                  1.366,             0.00077975,             0.00077975,             0.00077975
                     78,                0.76473,                 1.2756,                 0.6114,                 0.9255,                0.40704,                 0.2639,                0.24755,                0.16416,                0.41521,                0.26956,                0.24569,                0.15237,                 1.4642,                  3.261,                 2.4107,                 1.3443,             0.00077356,             0.00077356,             0.00077356
                     79,                0.72383,                 1.2613,                0.58678,                0.90885,                0.38568,                0.27228,                0.25974,                0.17894,                 0.4063,                0.26305,                0.25554,                0.16128,                 1.4667,                 3.3504,                 2.4474,                 1.3503,             0.00076738,             0.00076738,             0.00076738
